codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-09-07;06:00:00;2001;4,49;4,49;GWB-S6;2001-09-07 06:00:00
P00010;A;00425010001;2001-09-07;12:00:00;2001;4,55;4,55;GWB-S6;2001-09-07 12:00:00
P00010;A;00425010001;2001-09-07;18:00:00;2001;4,53;4,53;GWB-S6;2001-09-07 18:00:00
P00010;A;00425010001;2001-09-08;00:00:00;2001;4,51;4,51;GWB-S6;2001-09-08 00:00:00
P00010;A;00425010001;2001-09-08;06:00:00;2001;4,51;4,51;GWB-S6;2001-09-08 06:00:00
P00010;A;00425010001;2001-09-08;12:00:00;2001;4,51;4,51;GWB-S6;2001-09-08 12:00:00
P00010;A;00425010001;2001-09-08;18:00:00;2001;4,52;4,52;GWB-S6;2001-09-08 18:00:00
P00010;A;00425010001;2001-09-09;00:00:00;2001;4,51;4,51;GWB-S6;2001-09-09 00:00:00
P00010;A;00425010001;2001-09-09;06:00:00;2001;4,51;4,51;GWB-S6;2001-09-09 06:00:00
P00010;A;00425010001;2001-09-09;12:00:00;2001;4,51;4,51;GWB-S6;2001-09-09 12:00:00
P00010;A;00425010001;2001-09-09;18:00:00;2001;4,52;4,52;GWB-S6;2001-09-09 18:00:00
P00010;A;00425010001;2001-09-10;00:00:00;2001;4,51;4,51;GWB-S6;2001-09-10 00:00:00
P00010;A;00425010001;2001-09-10;06:00:00;2001;4,51;4,51;GWB-S6;2001-09-10 06:00:00
P00010;A;00425010001;2001-09-10;12:00:00;2001;4,52;4,52;GWB-S6;2001-09-10 12:00:00
P00010;A;00425010001;2001-09-10;18:00:00;2001;4,55;4,55;GWB-S6;2001-09-10 18:00:00
P00010;A;00425010001;2001-09-11;00:00:00;2001;4,53;4,53;GWB-S6;2001-09-11 00:00:00
P00010;A;00425010001;2001-09-11;06:00:00;2001;4,53;4,53;GWB-S6;2001-09-11 06:00:00
